window,method,backbone,alpha,num_seeds,num_runs,threshold_mean,threshold_std,validation_fpr_mean,validation_fpr_std,test_fpr_mean,test_fpr_std,violation_ratio_mean,violation_ratio_std,seen_precision_mean,seen_precision_std,seen_recall_mean,seen_recall_std,seen_f1_mean,seen_f1_std,ood_precision_mean,ood_precision_std,ood_recall_mean,ood_recall_std,ood_f1_mean,ood_f1_std,violation_ratio_p90,violation_ratio_p95,strict_ok,b3_ok,b5_ok,b10_ok
5m,ours,gat,0.01,5,5,0.8373417258262636,0.039432752350818986,0.0099806554711374,0.0,0.00931875525651802,0.0003582531214068909,0.9318755256518083,0.03582531214068938,0.12582245815552418,0.004236621693111141,0.9192307692307693,0.016089615894886066,0.22132723378625013,0.006745625663556101,0.2612387533046888,0.07115453079731243,0.24259634888438134,0.07767200177582428,0.2514016854279032,0.07469369474095916,0.9660779366414354,0.9806560134566863,1.0,1.0,1.0,1.0
5m,ours,gat,0.05,5,5,0.1952953666448593,0.023760504809593852,0.0499873840029157,0.0,0.04880291561536302,0.0006095224297625805,0.976058312307261,0.012190448595251311,0.0288989230417075,0.0003285221806191784,0.9961538461538462,0.008600261451922237,0.05616819110393614,0.0006246381345261101,0.18988888777937954,0.0019112194762015834,0.8275862068965518,1.2412670766236366e-16,0.3088969745657407,0.0025313017498241404,0.9897392767031118,0.9916456405943369,1.0,1.0,1.0,1.0
5m,ours,gcn,0.001,5,5,0.9957767248153688,0.0010796032384546154,0.000981244217668,0.0,0.00099243061396128,0.00017121874386992093,0.9924306139613119,0.17121874386994643,0.40910866105252747,0.06564422175560662,0.46923076923076923,0.07998705516571318,0.4363834641718866,0.0705574058947876,0.06449713856834596,0.026540435622917444,0.00486815415821496,0.0018142539371194862,0.00904455719789348,0.00339296218696801,1.166246145220073,1.2279226240538266,0.8,1.0,1.0,1.0
5m,ours,gcn,0.01,5,5,0.7971119880676271,0.023301795385604066,0.0099806554711374,0.0,0.00929632744603304,0.00036531351004792407,0.929632744603308,0.036531351004792746,0.1214739409837953,0.00869760321691346,0.8807692307692309,0.05336321894427549,0.21347994458545577,0.014793215660205868,0.2975098335722232,0.01816016279975902,0.28478701825557806,0.017601536024273143,0.2909674696827878,0.017443822463651375,0.958228202971685,0.9627137650686852,1.0,1.0,1.0,1.0
5m,ours,gcn,0.05,5,5,0.14969252943992614,0.02206539741166522,0.0499873840029157,0.0,0.04875245304177174,0.0005913939756021632,0.9750490608354362,0.011827879512043142,0.02838489652581424,0.0015091503056006972,0.976923076923077,0.05160156871153363,0.055166722371593355,0.0029303455427530053,0.20366182189246218,0.009830280614374472,0.9030425963488844,0.06262461912509604,0.33234553431873753,0.01732142767307526,0.9859265489206617,0.9880571909167368,1.0,1.0,1.0,1.0
5m,ours,gin,0.001,5,5,0.9900825023651125,0.00701103650143903,0.000981244217668,0.0,0.00100925147182502,0.0001827642950715515,1.009251471825063,0.18276429507156283,0.4535883468183396,0.042253856639977334,0.5692307692307692,0.0701330097261941,0.502827837675951,0.03849309441481684,0.18482318142450274,0.13597780172717527,0.01906693711967542,0.020314378837410586,0.03432201744208046,0.03544259710553258,1.155032239977572,1.1662461452200727,0.4,1.0,1.0,1.0
5m,ours,gin,0.01,5,5,0.4847134530544282,0.07820387831034993,0.0099806554711374,0.0,0.0111073731426969,0.001002100636680118,1.1107373142696944,0.1002100636680121,0.0930220826701246,0.009449856160209784,0.7769230769230769,0.04826884768465822,0.16604518668570986,0.015433508222696058,0.29647031944377217,0.0670855224467756,0.3456389452332657,0.11593494336049864,0.3181191981805145,0.08648203764912692,1.183067003083824,1.1886739557050743,0.2,1.0,1.0,1.0
5m,ours,gin,0.05,5,5,0.0104773394763469,0.005409298971016094,0.04998177689310043,1.2537878704228077e-05,0.04841603588449672,0.0009103747059786807,0.9683207176899356,0.01820749411957322,0.02574438022402698,0.0017738013260202383,0.876923076923077,0.048268847684658216,0.05001993871200282,0.003425087064322191,0.18833910810955942,0.018181945216190907,0.8154158215010142,0.10355759248169419,0.3059550750371067,0.03131670096343983,0.9851415755536864,0.9890664423885616,1.0,1.0,1.0,1.0
5m,ours,sage,0.001,5,5,0.9952966332435608,0.0008188714869763455,0.000981244217668,0.0,0.00068404821979248,0.00010601441211768718,0.6840482197925428,0.10601441211768453,0.5314040573412667,0.026093561201793045,0.5307692307692309,0.07272180923534248,0.5290231778968926,0.040436239462074475,0.04811348294106912,0.020653215243025224,0.00243407707910748,0.0009071269685597431,0.00463038448970088,0.0017368207134684766,0.7737594617325484,0.7793664143537987,1.0,1.0,1.0,1.0
5m,ours,sage,0.01,5,5,0.7403259038925172,0.029758024587770618,0.0099806554711374,0.0,0.010647603027754379,0.00040790339470403566,1.0647603027754413,0.040790339470404925,0.11269629057601012,0.003256288323705477,0.926923076923077,0.01608961589488605,0.20093993231600726,0.005120945886851297,0.2530076193414533,0.025101011392490748,0.26206896551724135,0.036942460402105345,0.2573146068704949,0.03081601803337247,1.1028875805999439,1.107933837959069,0.0,1.0,1.0,1.0
5m,ours,sage,0.05,5,5,0.09136832654476164,0.0165924080978259,0.0499873840029157,0.0,0.04954303336136806,0.0013563437428731069,0.9908606672273619,0.027126874857462204,0.02818172838557722,0.001316517922836254,0.9846153846153847,0.02507385540462553,0.05479426862988605,0.0025227809125161,0.20980390108667074,0.004871542128735361,0.9513184584178498,0.012000161831845038,0.3437684894380813,0.006848319892526022,1.0149705634987383,1.0157555368657134,0.6,1.0,1.0,1.0
