window,method,backbone,seed,alpha,threshold,validation_fpr,test_fpr,violation_ratio,seen_precision,seen_recall,seen_f1,seen_tp,ood_precision,ood_recall,ood_f1,ood_tp,false_positives
1m,base,sage,0,0.01,0.7858862280845643,0.0099942519144833,0.0105319760434629,1.0531976043462945,0.2055944055944056,0.8909090909090909,0.3340909090909091,147,0.0517529215358931,0.0173766816143497,0.0260176248426353,31,568
1m,base,sage,0,0.05,0.1862587481737137,0.0499898017837607,0.0498785485156959,0.9975709703139196,0.0544815465729349,0.9393939393939394,0.1029900332225913,155,0.2303290414878397,0.4512331838565022,0.3049820041674559,805,2690
1m,base,sage,1,0.001,0.9902585744857788,0.0009827372012386,0.0011310748919916,1.131074891991619,0.5821917808219178,0.5151515151515151,0.5466237942122186,85,0.0317460317460317,0.0011210762331838,0.002165674066053,2,61
1m,base,sage,1,0.01,0.7524036169052125,0.0099942519144833,0.010847193636313,1.0847193636313066,0.2008196721311475,0.8909090909090909,0.3277591973244147,147,0.0579710144927536,0.0201793721973094,0.0299376299376299,36,585
1m,base,sage,1,0.05,0.160011813044548,0.0499898017837607,0.0499527173610724,0.9990543472214496,0.0550683970536653,0.9515151515151516,0.1041114058355437,157,0.2649386084583902,0.5442825112107623,0.3563956689300789,971,2694
1m,base,sage,2,0.001,0.9928031563758852,0.0009827372012386,0.0010569060466151,1.0569060466151192,0.5928571428571429,0.503030303030303,0.5442622950819672,83,0.05,0.0016816143497757,0.0032537960954446,3,57
1m,base,sage,2,0.01,0.7883166670799256,0.0099942519144833,0.0106061448888394,1.0606144888839442,0.2033426183844011,0.8848484848484849,0.3306908267270668,146,0.0592105263157894,0.0201793721973094,0.0301003344481605,36,572
1m,base,sage,2,0.05,0.1644752770662308,0.0499898017837607,0.0504348148560197,1.0086962971203943,0.0542420027816411,0.9454545454545454,0.1025978296612956,156,0.2490336830480397,0.5056053811659192,0.3337032926378098,902,2720
1m,base,sage,3,0.001,0.993246912956238,0.0009827372012386,0.0010939904693033,1.093990469303369,0.5815602836879432,0.4969696969696969,0.5359477124183006,82,0.0166666666666666,0.0005605381165919,0.0010845986984815,1,59
1m,base,sage,3,0.01,0.7787469625473024,0.0099942519144833,0.0106432293115276,1.064322931152769,0.2049861495844875,0.896969696969697,0.3337091319052988,148,0.2851805728518057,0.1283632286995515,0.1770390413606494,229,574
